Death_Count_Africa,Death_Count_Americas,Death_Count_Europe,Death_Count_EM,Death_Count_SEA,Death_Count_WP,Year
351637,38817,38930,118652,646262,332699,1990
358916,37430,39551,120493,669655,321370,1991
365765,37639,42233,123148,694049,310102,1992
372091,37495,49269,126522,697343,298879,1993
386508,36657,54180,128904,719898,290289,1994
390388,36901,59302,132600,743364,279241,1995
394063,34534,65175,135073,747660,266051,1996
407226,33773,64789,138991,755677,242522,1997
409709,34034,62356,140606,765613,232248,1998
407754,31277,69232,142238,766161,223044,1999
415246,29838,69783,144792,764125,207421,2000
409469,28734,67924,144691,756899,195777,2001
402601,27527,68984,153318,739498,188076,2002
395098,26791,69014,153162,729468,176833,2003
387833,25498,65799,151934,701101,168271,2004
392218,23853,67811,141658,665896,160014,2005
386365,22485,60773,135521,636856,151730,2006
380718,21651,56624,125389,612596,142952,2007
375117,21335,55939,115341,579158,136633,2008
377195,20689,50252,106123,550718,130296,2009
371966,20518,46531,99836,523118,124813,2010
373750,19006,42970,94008,497837,118442,2011
385896,17811,40388,90388,464157,112838,2012
388509,16963,37245,90290,431786,108138,2013